"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2600.16269669652,2900.58091757428,3250.86519228392,3659.29272624093,4135.51464808565,4690.78406552249,4683.65866079762,5010.36569104793,5371.19702469529,5769.71691954415,6209.8619174438,6695.97972907664,8869.41118958462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",6787.14528764492,7750.9802367048,8915.55711599871,10322.685285722,12022.8819161318,14077.1855995166,4177.18392614924,3976.50678919842,3785.47043273675,3603.61170161932,3430.48969125334,3265.6846786537,5275.57084077621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",6505.59547002145,7697.40427922132,9198.66846116251,11089.7386786185,13471.8287933143,16472.4330343166,2925.06500610797,2604.28221252676,2259.88333894775,1883.4494555311,1459.36345238377,950.422617114514,3451.29480352274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5180.91127616719,6371.52988933949,7944.99934546044,10024.4277215623,12772.5092648785,16404.2535728369,3494.64947668254,3401.29504357871,3312.0447904327,3226.71828346579,3145.14302138486,3067.15408664325,5551.08874221412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7616.23223758807,7997.90588528287,8406.87431963012,8845.08948408441,9314.64291224617,9817.77571042996,4372.51785281395,4116.65969442689,3851.89999574196,3576.91259396006,3289.98404118298,2988.82901492185,4245.42810091345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3290.6441489604,3473.91881091241,3657.19347286442,3840.46813481643,4023.74279676844,4207.01745872045,3901.14766818282,3993.16011306879,4084.1236031747,4174.08438042929,4263.08523320035,4351.16585337613,3940.77244859497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",4172.26898161243,4340.52626584783,4508.78355008322,4677.04083431862,4845.29811855401,5013.5554027894,4998.1359232067,5108.57231180667,5219.00870040663,5329.44508900659,5439.88147760655,5550.31786620652,5028.75603217934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1506.76064761389,1702.63481684229,1940.194009048,2228.30943551662,2577.74023715582,3001.535264832,6999.10674038877,8301.10100930249,10010.5270413987,12254.8820504619,15201.5608257526,19070.3408403604,7740.24120446819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",7235.09871223159,8732.73632711233,10663.3852078408,13152.2416999736,16360.7001101296,20496.8186056075,4086.40751230511,3889.54054031532,3709.2167133391,3544.04587616567,3392.7546912455,3254.17682225696,8096.77556353928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
