0.000,0.001,0.002,-0.002,0.001,-0.001,0.003,0.000,0.002,0.001,0.003,0.001
0.000,-0.000,-0.000,-0.001,-0.003,-0.005,0.005,0.003,0.002,-0.000,0.001,-0.001
0.001,0.003,-0.000,-0.002,0.003,0.007,-0.005,-0.006,-0.001,-0.002,0.001,0.001
-0.002,-0.001,-0.001,-0.014,-0.017,-0.032,0.029,0.019,0.008,0.001,-0.002,-0.010
0.003,-0.004,-0.000,-0.014,-0.024,-0.040,0.040,0.027,0.012,0.007,-0.004,-0.019
-0.003,-0.002,0.001,0.015,0.038,0.076,-0.064,-0.047,-0.021,-0.005,0.007,0.033
-0.001,0.001,-0.001,0.003,0.008,0.010,-0.010,-0.008,-0.004,0.000,0.003,0.006
-0.001,-0.001,0.002,0.001,0.000,-0.001,-0.000,0.002,0.003,0.004,0.003,0.005
0.000,0.001,-0.001,-0.001,-0.006,-0.007,0.004,0.002,0.002,-0.001,0.001,-0.000
0.002,0.004,0.005,0.015,0.030,0.046,-0.048,-0.030,-0.017,-0.002,0.007,0.025
-0.001,0.000,-0.001,-0.002,-0.004,-0.008,0.006,0.004,0.003,0.001,-0.001,-0.004
0.000,-0.001,0.000,-0.004,-0.003,-0.011,0.012,0.007,0.005,-0.000,-0.001,-0.001
-0.002,0.003,-0.000,-0.012,-0.010,-0.015,0.011,0.009,0.010,0.001,-0.006,-0.006
0.001,0.000,-0.005,-0.016,-0.032,-0.042,0.043,0.034,0.019,0.005,-0.011,-0.026
0.005,-0.003,0.003,0.006,0.006,0.005,-0.008,-0.016,0.004,-0.004,-0.003,0.009
-0.003,-0.003,0.003,-0.016,-0.018,-0.025,0.030,0.021,0.002,-0.001,-0.008,-0.004
0.012,-0.005,-0.002,-0.016,-0.012,-0.031,0.040,0.024,0.008,0.009,-0.006,-0.009
0.000,0.005,0.002,0.011,0.029,0.032,-0.033,-0.017,-0.011,-0.003,0.002,0.016
-0.004,-0.005,0.003,0.008,0.006,0.005,-0.009,-0.007,-0.009,0.002,0.005,0.004
-0.002,-0.004,0.002,-0.002,0.012,0.011,-0.007,-0.012,-0.007,0.004,0.010,0.011
-0.006,-0.023,0.010,0.002,0.014,0.011,0.009,-0.007,-0.002,-0.015,-0.000,-0.028
-0.008,0.006,-0.011,0.004,0.014,0.038,-0.031,-0.014,-0.012,-0.001,-0.001,-0.010
0.000,0.006,0.002,0.001,-0.004,0.004,-0.005,0.000,0.002,-0.004,0.001,0.007
-0.001,0.013,0.003,-0.007,-0.006,-0.022,0.028,0.020,0.014,-0.000,0.003,-0.009
-0.002,-0.001,-0.001,0.003,0.007,0.012,-0.011,-0.007,-0.003,-0.000,0.003,0.006
-0.001,-0.001,-0.003,0.001,0.006,0.009,-0.008,-0.006,0.002,0.000,0.001,0.006
-0.005,-0.002,0.000,0.003,-0.000,-0.017,-0.000,0.004,-0.001,-0.003,-0.006,-0.008
-0.002,0.009,-0.001,-0.027,-0.048,-0.075,0.070,0.051,0.024,0.004,-0.016,-0.034
-0.002,0.000,0.001,-0.013,-0.020,-0.028,0.025,0.019,0.011,0.000,-0.006,-0.013
-0.004,-0.001,0.008,0.028,0.042,0.054,-0.075,-0.039,-0.015,-0.005,0.004,0.028
-0.001,-0.001,0.000,0.005,0.005,0.016,-0.012,-0.009,-0.010,0.000,0.002,0.004
-0.001,0.001,0.002,-0.001,-0.003,-0.011,0.002,0.006,0.000,0.008,0.002,0.004
-0.002,-0.012,0.014,-0.000,-0.019,-0.024,0.009,0.016,0.002,0.013,-0.007,-0.010
0.004,0.005,0.006,0.013,0.011,0.033,-0.035,-0.022,-0.010,-0.005,0.009,0.014
-0.002,-0.000,-0.004,-0.005,-0.007,-0.007,0.011,0.004,0.003,0.001,-0.003,-0.003
-0.003,0.004,0.000,0.009,0.011,0.018,-0.021,-0.015,-0.010,0.004,0.008,0.022
-0.000,-0.002,-0.013,-0.004,-0.024,-0.033,0.038,0.022,0.014,0.001,-0.002,-0.024
-0.003,-0.000,-0.006,0.005,-0.003,-0.001,0.002,-0.007,0.001,0.005,-0.001,0.007
-0.007,0.013,-0.004,0.004,0.009,0.005,-0.007,-0.006,-0.003,-0.016,0.001,0.027
0.008,0.007,0.001,-0.006,-0.014,-0.014,0.024,0.008,0.013,-0.002,-0.005,-0.013
0.005,0.000,-0.019,-0.007,-0.012,-0.031,0.018,0.032,0.017,-0.000,-0.017,-0.019
-0.003,0.008,0.011,0.023,0.037,0.078,-0.048,-0.050,-0.032,0.005,0.005,0.041
-0.004,-0.003,-0.002,0.004,-0.009,-0.010,0.013,0.006,0.008,0.002,0.004,-0.001
-0.000,0.000,0.001,-0.008,-0.023,-0.039,0.035,0.023,0.011,0.013,0.000,-0.020
0.003,0.009,0.004,-0.015,0.008,0.002,-0.008,-0.005,-0.002,-0.003,-0.009,-0.002
-0.001,0.002,0.004,-0.003,-0.008,-0.001,0.006,-0.004,0.002,0.001,0.001,-0.005
-0.005,-0.003,0.002,-0.011,-0.009,-0.022,0.015,0.014,-0.004,0.011,-0.010,-0.009
-0.003,0.000,-0.002,-0.006,0.000,-0.003,0.002,0.003,0.001,-0.003,-0.004,-0.003
-0.014,-0.021,0.013,0.010,0.007,0.005,0.000,0.000,0.000,0.000,0.000,0.000
-0.003,-0.005,0.003,0.004,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000
-0.017,-0.003,-0.006,-0.007,-0.001,-0.012,-0.042,-0.091,-0.152,0.073,0.026,-0.012
-0.014,-0.008,-0.004,-0.011,0.003,-0.025,-0.052,-0.071,-0.131,0.090,0.036,0.013
-0.000,-0.001,-0.001,-0.000,0.000,0.000,0.001,0.000,-0.000,-0.001,-0.003,-0.003
-0.002,-0.001,-0.002,-0.002,0.006,0.008,0.000,0.000,0.000,0.000,0.000,0.000
-0.001,-0.002,-0.003,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000
0.107,0.020,0.026,0.053,-0.007,-0.093,0.000,0.000,0.000,0.000,0.000,0.000
0.014,0.049,-0.022,-0.003,-0.008,-0.004,0.000,0.000,0.000,0.000,0.000,0.000
0.016,-5.246,1.336,1.152,0.589,0.117,0.000,0.000,0.000,0.000,0.000,0.000
-0.019,0.001,0.005,0.008,0.003,-0.010,-0.006,0.002,0.009,0.025,0.035,0.028
0.076,0.123,0.217,-0.133,-0.070,0.001,0.000,0.000,0.000,0.000,0.000,0.000
0.090,0.136,0.232,-0.194,-0.126,-0.074,-0.028,-0.000,-0.019,-0.002,-0.011,0.011
0.032,0.082,0.108,-0.145,-0.081,-0.034,-0.023,-0.003,0.007,-0.013,-0.002,0.002
0.071,0.113,0.235,-0.196,-0.129,-0.040,-0.026,0.005,-0.034,-0.026,-0.040,-0.065
0.020,0.057,0.084,-0.069,-0.038,-0.011,-0.013,-0.009,0.007,0.024,0.049,0.084
0.039,0.060,0.118,-0.074,-0.024,0.021,0.000,0.000,0.000,0.000,0.000,0.000
-0.002,-0.000,0.028,0.054,0.072,-0.071,-0.047,-0.026,-0.001,0.020,0.025,0.053
0.196,-0.147,-0.110,-0.053,-0.012,0.041,0.000,0.000,0.000,0.000,0.000,0.000
-0.021,-0.044,0.018,0.000,-0.017,-0.027,0.000,0.000,0.000,0.000,0.000,0.000
-0.034,-0.043,-0.029,0.040,0.046,0.041,0.000,0.000,0.000,0.000,0.000,0.000
-0.012,-0.004,-0.013,-0.006,0.011,0.007,0.000,0.000,0.000,0.000,0.000,0.000
-0.084,-0.111,-0.176,0.067,0.074,0.044,0.000,0.000,0.000,0.000,0.000,0.000
-0.023,-0.035,-0.028,0.014,0.019,0.019,0.000,0.000,0.000,0.000,0.000,0.000
