"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3757.97637418904,3816.08538131174,3784.10510747099,3767.64940786826,3758.07630435769,3816.18486044632,3784.20413962774,3767.7479970489,3869.47346780268,3914.51616049897,3873.68462486432,3867.58981416428,3880.78115055106,3926.00263405575,3885.09811515119,3879.03226108063,4828.75873581441,4845.35871392769,4862.05721276522,4878.85481704664,4895.75211496188,4912.74969819179,4929.84816192883,4947.04810489792,4265.16479939897,4268.92617860443,4272.70774729013,4276.50961382461,4280.33188715806,4284.17467682547,4288.03809294979,4291.92224624504,4096.89026839372,4093.52800898202,4072.15724215399,4117.72241993448,4097.34393063279,4093.98329480203,4072.61214526083,4118.18443845286,4034.06078047179,4012.94084953277,3993.62441905438,4031.88519305187,4034.57156658458,4013.44894539122,3994.1300531706,4032.39565521996,4388.98594831924,4398.73675903143,4383.59403250836,4398.94304606237
"3",5848.06660677187,5855.07560017257,5862.05565402885,5869.00704037192,5875.93002725708,5882.82487884234,5889.69185546517,5896.53121371719,6159.41107239086,6159.56617800113,6159.72245291834,6159.87990595764,6160.03854600064,6160.19838199587,6160.35942295938,6160.52167797515,7413.32929752907,7422.08099671608,7430.84302759558,7439.6154023645,7448.39813323418,7457.19123243036,7465.99471219322,7474.80858477739,5213.37498037689,5216.70505705384,5220.0372608386,5223.37159308989,5226.70805516726,5230.04664843117,5233.38737424292,5236.73023396469,5379.04643332723,5380.45046193197,5381.85485701361,5383.25961866783,5384.66474699029,5386.07024207672,5387.47610402283,5388.88233292439,6061.26791652919,6071.67638947727,6082.07594842547,6092.46662383169,6102.84844597216,6113.22144494299,6123.58565066172,6133.94109286879,6675.61518249003,6688.10388986743,6700.58093443186,6713.04635960259
"4",3189.8195259458,3449.99429544761,3520.28973688497,2894.75711385124,3189.88560700502,3450.06231408185,3520.35974990622,2894.82917973728,1028.8970631758,1024.49282773996,1020.10519787353,1015.73411096746,1011.37950464879,1007.04131677971,1002.71948545669,998.413949009595,1184.22069371921,1130.91170431554,1077.60271491187,1024.2937255082,970.984736104528,917.675746700857,864.366757297186,811.057767893515,4137.52874930903,4175.58075090827,3540.60917055348,2747.8661984257,3825.46143156111,3854.59086081901,3263.09824012369,2528.18539665441,6410.92973884955,6399.14575616831,6387.44589751545,6375.82956234255,6364.29615438841,6352.84508164846,6341.47575634434,6330.18759489377,4993.76106071146,4993.78847267342,4993.81588478584,4993.84329704874,4993.87070946211,4993.89812202596,4993.92553474028,4993.95294760507,5060.45602100996,5060.61119909334,5060.77126270004,5060.9363656426
"5",6343.35953569188,6394.78358249838,6498.96127975814,6939.01435483652,6398.41578522657,6449.9556318826,6554.2493725538,6994.41873511781,4414.94115109106,4503.96724384959,4807.94771160813,4905.79422103332,4415.21052212519,4504.23661488372,4808.21708264225,4906.06359206745,4052.18720637527,3917.08158648018,3948.18809384897,4018.03838309172,3902.05021434963,3770.59349572572,3799.14323813031,3864.9115235345,6160.17892668381,5574.6471999634,5681.2786113292,5755.05804789641,5688.56882491404,5098.03290638272,5199.44148218385,5267.76214031397,9927.62203125984,9089.94364013721,9416.89440315195,9527.91787708482,9668.36033463322,8852.5580705656,9170.97045356691,9279.09452881934,10437.190132415,9515.27689897306,9842.19995387326,10232.7800253741,10437.4446206839,9515.50997399179,9842.44214408829,10233.0329832158,8725.69155146862,8247.14396523685,8445.99373203297,8494.63670869708
"6",5127.95325797118,5120.55992271176,5118.62610320334,5114.20676068267,5118.03161048791,5110.65257997397,5108.72250205102,5104.31171014624,5164.6468466126,5162.9853085097,5164.20291653822,5166.93368414911,5170.70942593213,5169.04593741387,5170.2649747454,5172.99894789884,5202.51439392443,5202.77035177686,5206.61465320176,5214.88627795101,5219.63646498442,5219.90032483875,5223.76434545878,5232.07028577979,5249.65354319624,5254.89162521729,5256.66128155446,5261.34199718731,5266.25659043559,5271.51433795928,5273.30368309193,5278.00411084068,5066.39313980121,5062.64526140475,5070.72685233614,5067.96062130694,5069.15761036233,5065.41177821445,5073.49541690903,5070.73123515877,5179.34793952535,5179.3990967701,5179.45025401484,5179.50141125959,5179.55256850433,5179.60372574907,5179.65488299382,5179.70604023856,5294.07000732924,5294.38928964455,5294.70857195986,5295.02785427517
"7",4895.58765541161,4899.07494041536,4899.13627283287,4891.21593239646,4886.02297156597,4889.51492765004,4889.58092886666,4881.66525494926,4425.68978181672,4427.27412614365,4406.89254416965,4394.38758946583,4392.54122826817,4394.09262356635,4373.67796464712,4361.13980421339,4625.75189736724,4646.27599475219,4624.25160978035,4619.16116666073,4622.17349111749,4642.69828008691,4620.67458656589,4615.58483476345,4585.95871600461,4600.19204519383,4577.59302208947,4569.95727616277,4579.30530347329,4593.51032650212,4570.88274489388,4563.21818468316,4418.77995746865,4421.3621157158,4388.19278524037,4374.72578318638,4377.74030561615,4380.41814341917,4347.34426943298,4333.97250132161,4534.60780256557,4536.25004960513,4516.64700020246,4501.08867080129,4503.06580654322,4504.69663037886,4485.22993660676,4469.77982842019,4450.90750528059,4445.29400638164,4439.6875872456,4434.08823894346
"8",5332.98369997652,5378.25994939975,5368.81203159059,5368.20362754416,5370.38115616931,5416.05139283933,5406.61346270742,5406.07716258492,5209.45886981498,5254.1064269153,5247.29460901563,5238.48518694929,5244.21659821628,5288.86415531661,5282.05233741693,5273.24291535059,5313.59107962376,5355.37358322872,5348.65192016701,5341.7321321053,5330.38317737693,5372.16568098188,5365.44401792018,5358.52422985847,5420.01380926928,5420.02319196345,5420.03257467386,5420.04195740052,5420.05134014341,5420.06072290255,5420.07010567794,5420.07948846956,5352.24764431771,5352.25617073883,5352.26469945663,5352.27323047175,5352.28176378481,5352.29029939641,5352.29883730718,5352.30737751774,5400.73090399782,5400.7853037735,5400.83968521853,5400.89404834544,5400.94839316675,5401.00271969496,5401.05702794258,5401.11131792208,5285.1293952985,5285.13666248947,5285.14392968043,5285.15119687139
"9",5463.34546686464,5459.75252304336,5477.1652973826,5483.93683912494,5463.5011823614,5459.90823239516,5477.32100058997,5484.0925361884,5467.49169617457,5467.49446552153,5467.4972348685,5467.50000421547,5467.50277356243,5467.5055429094,5467.50831225636,5467.51108160333,5492.13680744998,5492.13840981674,5492.14001319095,5492.14161757324,5492.14322296424,5492.14482936459,5492.14643677493,5492.14804519587,5437.93332449357,5437.93394650828,5437.93456852299,5437.9351905377,5437.93581255241,5437.93643456712,5437.93705658184,5437.93767859655,5490.03483914965,5490.03883535182,5490.04283155399,5490.04682775616,5490.05082395833,5490.05482016049,5490.05881636266,5490.06281256483,5408.56778680115,5408.41236744405,5408.25694808696,5408.10152872987,5407.94610937277,5407.79069001568,5407.63527065859,5407.47985130149,5669.70285583683,5669.74493474573,5669.78702530663,5669.82912752276
"10",5936.45335579008,5937.4488683252,5938.44454780263,5939.44039425036,5940.4364076964,5941.43258816874,5942.42893569539,5943.42545030437,6036.69441182202,6037.03639021127,6037.37838797357,6037.72040511003,6038.06244162173,6038.40449750979,6038.74657277529,6039.08866741934,5929.97396795054,5930.01040976115,5930.04685197264,5930.083294585,5930.11973759825,5930.15618101239,5930.19262482742,5930.22906904335,5996.26174319653,5995.52133505702,5994.78073343266,5994.03993819839,5993.298949229,5992.55776639916,5991.81638958342,5991.07481865617,6024.06764625401,6023.57058673556,6023.07356823063,6022.57659073582,6022.07965424775,6021.58275876304,6021.0859042783,6020.58909079016,6157.68386646016,6158.12071973442,6158.55764608924,6158.99464553684,6159.43171808946,6159.86886375932,6160.30608255866,6160.7433744997,6112.4221626292,6126.28230922548,6130.18547550777,6115.53854639595
