"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3274.48382478498,3445.00820769117,3615.53259059736,3786.05697350355,3956.58135640974,4127.10573931593,6607.41987780236,7106.58893901907,7661.80791371782,8279.37044676853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",5705.19656759581,6020.54787298217,6335.89917836853,6651.25048375489,6966.60178914125,7281.95309452761,4675.79242987606,4596.48502076509,4518.52276656299,4441.88285172516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",5019.55015054749,5285.44609905318,5551.34204755887,5817.23799606455,6083.13394457024,6349.02989307592,3317.12988229251,3172.49885807686,3034.17392795698,2901.88013831931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",3952.65426319559,4237.89919845983,4523.14413372407,4808.3890689883,5093.63400425254,5378.87893951678,4512.53448192244,4554.74713727797,4597.35467233565,4640.36078101091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",5388.77639020124,5403.59032601406,5418.40426182688,5433.2181976397,5448.03213345253,5462.84606926535,4894.18142685395,4838.29076230302,4783.62612309071,4730.16061495581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3963.67033523762,4110.5125868805,4257.35483852337,4404.19709016624,4551.03934180912,4697.88159345199,4338.15757497258,4430.73929859984,4523.3210222271,4615.90274585435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",5277.01933837514,5433.02891567709,5589.03849297904,5745.04807028098,5901.05764758293,6057.06722488488,5254.52106276821,5361.69679104439,5472.00860078144,5585.54825722407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2944.68147512467,3397.42972211325,3957.85971763315,4651.58251383949,5510.30050149803,6573.25617537935,9415.45977871482,9877.38769723854,10339.3156157622,10801.243534286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4763.94880668169,5126.64132186433,5489.33383704698,5852.02635222962,6214.71886741227,6577.41138259491,5468.94635491443,5470.08763966795,5471.22524894516,5472.3592071005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",8681.3386340051,9656.0998451092,10784.1063426599,12089.4503017979,13600.0115045547,15348.0528014872,10538.4907685941,10903.9579979597,11269.4252273253,11634.8924566909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2907.34245060577,3019.98513613315,3132.62782166054,3245.27050718792,3357.9131927153,3470.55587824269,6135.80736039907,6543.10393545063,6991.92777816882,7486.51293829893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",3514.24755560716,4121.47100754031,4870.48481451833,5794.39788351729,6934.05025189097,8339.81835315503,7291.78363359722,8070.97343302675,8970.04658509294,10007.4479131879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",4997.32556321665,5455.839504305,5976.67756267652,6568.31122686634,7240.36348375613,8003.76533751839,7177.11308247621,7452.46172983134,7727.81037718647,8003.1590245416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2578.86098982277,2617.50901437635,2656.15703892993,2694.80506348352,2733.4530880371,2772.10111259068,4129.03157000598,4137.28981057551,4145.56456798105,4153.85587525698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4024.51044443318,4196.53698669999,4368.5635289668,4540.59007123361,4712.61661350043,4884.64315576724,6848.03895108055,7213.61393264826,7609.52970844841,8038.30440428572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",5124.89800908561,5269.69230792004,5414.48660675446,5559.28090558888,5704.07520442329,5848.86950325771,7126.02542103177,7244.63111047242,7367.93973651468,7496.13777935849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",4857.45558247623,5067.13103005395,5290.91181103782,5529.7468225581,5784.64879616418,6056.69859210774,6404.34747304727,6619.31647609481,6834.28547914234,7049.25448218988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",7196.05305145488,7413.700298944,7631.34754643312,7848.99479392224,8066.64204141137,8284.28928890049,7216.33637727774,7307.77931557052,7401.38789437803,7497.21340250319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",5389.56805477801,5910.43343750975,6500.36256886807,7168.51290398917,7925.25612379681,8782.33913434572,5394.16393966676,5526.28570719149,5658.40747471621,5790.52924224094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",5042.30715772437,5276.38219672322,5510.45723572207,5744.53227472092,5978.60731371977,6212.68235271861,10285.7607703617,10515.1996823135,10744.6385942653,10974.0775062171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",8659.1519146908,9152.48762357032,9645.82333244984,10139.1590413294,10632.4947502089,11125.8304590884,11096.1244224694,11444.8698511097,11810.7513508646,12194.6109254111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2872.74462809106,2970.67282558394,3068.60102307682,3166.5292205697,3264.45741806258,3362.38561555545,4734.88009270772,4957.53384780715,5180.18760290658,5402.84135800601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",7015.36282178705,7253.546284349,7491.72974691095,7729.9132094729,7968.09667203485,8206.2801345968,3810.5874689284,3731.77844211707,3652.96941530575,3574.16038849442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",4316.07269151348,4492.0952468924,4668.11780227133,4844.14035765026,5020.16291302919,5196.18546840811,7237.28991456725,7567.31162913524,7897.33334370323,8227.35505827123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",3631.25309434085,3792.29025766985,3953.32742099885,4114.36458432784,4275.40174765684,4436.43891098583,6062.77830785054,6356.51955120283,6672.11147258353,7011.17948940032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",5705.64533619747,5944.29271105691,6182.94008591635,6421.58746077579,6660.23483563523,6898.88221049466,9012.48874510576,9267.94371933101,9523.39869355626,9778.8536677815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2144.04005381227,2411.88176847332,2733.03906610967,3118.12474985242,3579.86416824651,4133.51573074224,5265.00250973286,5908.52983920355,6670.21642898797,7571.75772255605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",7220.26734069677,8143.44479764722,9246.17725277921,10563.3875664044,12136.7909810277,14016.2162174843,13098.3012849806,13817.808363281,14537.3154415814,15256.8225198818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",5810.27603703432,6328.57854836032,6927.71013741245,7620.27606784137,8420.84738932635,9346.26750115208,4668.10376660341,4872.17407034124,5087.75197669662,5315.48640379033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",4686.7951417102,4888.0625320415,5089.32992237281,5290.59731270412,5491.86470303543,5693.13209336673,6952.96861214831,7130.74226266788,7308.51591318746,7486.28956370704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",5279.67676451069,5763.71153831414,6312.67144887515,6935.26511303517,7641.36926234558,8442.18542604047,8333.30151048418,8887.36805557879,9494.17218590968,10158.7336106096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",3259.73379564908,3388.09585530591,3523.832275885,3667.36671215754,3819.14715773126,3979.64734330911,5287.34264332375,5512.06656725025,5736.79049117675,5961.51441510324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2711.79933883123,2773.2950755898,2834.79081234837,2896.28654910695,2957.78228586552,3019.27802262409,4417.18056907637,4417.27650074523,4417.36858147452,4417.4571086133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",8745.31038082919,9160.89693255898,9576.48348428877,9992.07003601857,10407.6565877484,10823.2431394781,8492.49533708581,8433.51556499122,8374.94540319115,8316.78200697145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",5019.55015054749,5285.44609905318,5551.34204755887,5817.23799606455,6083.13394457024,6349.02989307592,3317.12988229251,3172.49885807686,3034.17392795698,2901.88013831931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1303.75800917103,1596.84567755537,1955.82009850782,2395.49275893915,2934.00480059896,3593.57553380792,4712.37450099924,5655.37779396387,6835.55246318407,8312.54863091775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",978.839887813801,1155.56898606929,1383.78035880769,1678.47110957391,2059.00709051604,2550.39554575285,3243.54817800785,3751.51873241037,4384.11325296654,5171.90660824946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",5139.99297655775,5987.06964571397,7018.82582809554,8275.52532017693,9806.21022458155,11670.6147949149,9036.91297307255,9503.59744316938,9970.28191326621,10436.966383363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1984.21581295457,2162.42910750699,2363.20865380484,2589.41190262989,2844.25812936208,3131.37425000571,5436.02491521087,5957.55211675,6560.08224423832,7256.19656667382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1156.88183865988,1373.71651054511,1652.65590046844,2011.48773568334,2473.0944166153,3066.91220804234,3168.9929604035,3343.10541853352,3517.21787666355,3691.33033479357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",3756.10197726695,4440.96907159615,5276.08392737507,6294.40825353611,7536.13497660359,9050.27464229597,5951.67851569693,6363.77779808277,6816.72081357808,7314.55564138519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
