"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3127.1008544057,3127.22296291131,3127.34507141693,3127.46717992254,3127.58928842816,3127.71139693377,3127.83350543939,3127.955613945,3892.19101375226,3892.22233584152,3892.25397825504,3892.2859442687,3892.31823719189,3892.35086036786,3892.38381717401,3892.41711102231,3676.83894882815,3676.85151216272,3676.86407554023,3676.87663896066,3676.88920242403,3676.90176593032,3676.91432947953,3676.92689307168,3738.13307931668,3738.28693316077,3738.44079333718,3738.59465984615,3738.74853268795,3738.90241186283,3739.05629737107,3739.21018921292,3905.18201873451,3905.00386642784,3904.82568711427,3904.64748078437,3904.46924742872,3904.29098703788,3904.11269960242,3903.93438511289,4754.99574566223,4771.67075423926,4788.45385185036,4805.34573913917,4822.34712129104,4839.45870806234,4856.68121381019,4874.01535752222,4582.85083091562,4609.38177647458,4636.23209659633,4663.40563585214,4690.90628509354,4718.73798200936,4746.90471168963,4775.41050719614,4160.76177423915,4172.08993917952,4183.41810411988,4194.74626906025,4206.07443400062,4217.40259894098,4228.73076388135,4240.05892882172,4213.15860097241,4213.14154061987,4213.12435602112,4213.10704535264,4213.0896067505,4213.07203830908,4213.05433807987,4213.03650407018,4405.38967539989,4405.40462530803,4405.41957209108,4405.43451575036,4405.44945628717,4405.46439370283
"3",4739.09042507607,4729.77078600102,4720.44157630096,4711.10275732564,4701.75429015161,4692.39613557946,4683.02825413107,4673.6506060467,6741.15647266808,6741.78290398871,6742.42370554563,6743.07920698981,6743.74974553437,6744.43566612803,6745.13732163259,6745.85507300442,5819.54898296345,5819.64024301166,5819.73150305986,5819.82276310808,5819.91402315629,5820.0052832045,5820.09654325271,5820.18780330092,6003.35302592724,6015.35247642612,6027.33984283454,6039.31517342753,6051.27851614392,6063.22991858961,6075.1694280409,6087.09709144774,5899.91307772916,5875.27000093361,5850.57505478534,5825.82780014143,5801.02779131171,5776.17457591839,5751.2676947518,5726.30668162207,7288.93969554094,7292.71708626785,7296.49319606182,7300.26802645353,7304.04157897053,7307.81385513724,7311.58485647497,7315.35458450191,6711.24577139759,6711.27746163391,6711.30915201988,6711.34084255548,6711.37253324072,6711.40422407561,6711.43591506014,6711.46760619432,6391.30503328654,6396.69284771498,6402.0640555057,6407.41877252074,6412.75711336607,6418.07919141002,6423.38511880137,6428.6750064871,6490.99500449325,6468.36655899342,6445.81699917219,6423.34605002392,6400.95343750166,6378.63888851384,6356.40213092091,6334.24289353203,6672.34009786272,6693.60467241403,6714.93701661201,6736.33734643675,6757.80587855668,6779.34283033075
"4",4034.01704922748,4211.67092496816,4400.64122970355,4601.64881213259,4815.46043851771,5042.89171760188,5284.8102118408,5542.13874681844,10709.3824062574,11374.1283741353,12080.1360306005,12829.9665449229,13626.3400616406,14472.1455683723,15370.4513761374,16324.5162502034,6676.63504810895,6806.76096165543,6936.88687520191,7067.0127887484,7197.13870229488,7327.26461584136,7457.39052938784,7587.51644293432,2453.04534664732,2423.44565038707,2394.2031191584,2365.31344322588,2336.77236485753,2308.57567769736,2280.7192261454,2253.19890474528,2469.34174594345,2316.64949457379,2163.95724320414,2011.26499183449,1858.57274046484,1705.88048909518,1553.18823772553,1400.49598635588,1805.1658863012,1767.74032915202,1732.77277338891,1700.10178465327,1669.57653112411,1641.05608717429,1614.40878276067,1589.51159554432,6012.60414758933,6008.01431733244,6003.4279908056,5998.84516533417,5994.26583824554,5989.69000686918,5985.11766853656,5980.54882058121,6472.27944132391,6859.2507510915,7281.0819993505,7740.91351015324,8242.1685006259,8788.57856511911,9384.21145507389,10033.50136141,7656.13004476012,7928.08749922278,8222.03751231273,8539.75857043304,8883.17298199217,9254.35850795076,9655.56093290325,10089.2076527533,6579.94650738187,6632.22523006698,6685.14998650279,6738.72876004438,6792.96963270108,6847.88078635554
"5",6450.03120795706,6497.8400352423,6546.24636595929,6595.2576675648,6644.88150084211,6695.12552106738,6745.99747919062,6797.50522303135,10837.8429217377,11084.2952639787,11336.3519278024,11594.1403553752,11857.7908868958,12127.4368264968,12403.214509644,12685.2633720692,10555.9122882764,10745.0631582393,10934.2140282022,11123.3648981651,11312.515768128,11501.666638091,11690.8175080539,11879.9683780168,6968.41665816293,6968.85819256622,6969.29971285154,6969.74121902068,6970.18271107545,6970.62418901763,6971.06565284903,6971.50710257145,4782.80815957359,4607.76766388302,4429.33265973261,4247.2235856965,4061.1179141354,3870.64004580695,3675.34787759813,3474.71458318153,5030.34746001457,4939.57354029433,4851.77255611878,4766.84714091192,4684.70311694932,4605.24939092004,4528.39785290907,4454.06327868815,5843.5986934568,5805.2326190601,5767.36049473843,5729.97596105364,5693.07274044319,5656.644636166,5620.68553126192,5585.18938752456,8874.61758284197,8982.0515395914,9090.78606562791,9200.8369053262,9312.21999365853,9424.95145850206,9539.04762297408,9654.52500779556,11385.7260663013,11705.1262293042,12033.4864238003,12371.0580027118,12718.0993700849,13074.8761788925,13441.6615343861,13818.7362031522,10010.607079732,10118.8663462584,10227.1256127848,10335.3848793112,10443.6441458376,10551.903412364
"6",4976.27352836109,4971.79288774953,4967.31628151032,4962.84370601089,4958.37515762198,4953.91063271755,4949.45012767488,4944.99363887447,5014.63408768246,5014.62613586861,5014.61818406737,5014.61023227873,5014.60228050271,5014.5943287393,5014.58637698849,5014.5784252503,5018.84928560558,5018.89828570652,5018.94729303693,5018.99630759786,5019.04532939039,5019.09435841559,5019.14339467452,5019.19243816825,5126.3772482084,5129.94964860989,5133.52204901139,5137.09444941288,5140.66684981438,5144.23925021587,5147.81165061737,5151.38405101886,5198.812438446,5203.04808506444,5207.29301809365,5211.54725789353,5215.81082486866,5220.08373946831,5224.36602218663,5228.65769356266,5175.63073877997,5180.44367570559,5185.25661263121,5190.06954955682,5194.88248648244,5199.69542340806,5204.50836033368,5209.3212972593,5237.73470850672,5239.61386496732,5241.49404615812,5243.3752526379,5245.25748496578,5247.14074370117,5249.02502940378,5250.91034263363,5031.86923023991,5030.25729034101,5028.64611098142,5027.03569180229,5025.42603244497,5023.81713255095,5022.20899176192,5020.6016097197,5114.9392081003,5114.93135402008,5114.92349993986,5114.91564585965,5114.90779177943,5114.89993769922,5114.892083619,5114.88422953879,5299.09193476959,5300.38355634849,5301.67575723584,5302.96853769149,5304.26189797537,5305.55583834754
"7",5286.49307803622,5284.33429283982,5282.17638920203,5280.01936676286,5277.86322516247,5275.70796404117,5273.5535830394,5271.40008179775,5399.20573595086,5400.69735711459,5402.1896393327,5403.68258289815,5405.17618810403,5406.67045524357,5408.16538461013,5409.66097649719,5285.12333412208,5286.68855240914,5288.2537706962,5289.81898898326,5291.38420727032,5292.94942555738,5294.51464384443,5296.07986213149,4935.89836344959,4930.41575326004,4924.91862861322,4919.40689612478,4913.88046145327,4908.33922928664,4902.78310332853,4897.21198628425,4619.18589814606,4598.41612920466,4577.5976662445,4556.73005737995,4535.81284335402,4514.84555736549,4493.82772489088,4472.75886350076,4611.93258937233,4593.46424230902,4575.06985119295,4556.74911986973,4538.5017533709,4520.3274579092,4502.22594087384,4484.19691082577,4668.84641707323,4663.0623591248,4657.28546682786,4651.51573130517,4645.75314369048,4639.9976951285,4634.24937677493,4628.50817979643,4401.51884078279,4400.4362772604,4399.35397999695,4398.27194892696,4397.19018398497,4396.10868510551,4395.02745222315,4393.94648527246,4520.24366989413,4517.13026013098,4514.01221352447,4510.88951302531,4507.76214148406,4504.63008165036,4501.49331617203,4498.3518275943,4325.67516493619,4319.11599450178,4312.56676996371,4306.02747624067,4299.49809827423,4292.97862102878
"8",5117.12729682857,5119.71909810436,5122.3122121155,5124.90663952687,5127.50238100371,5130.09943721158,5132.6978088164,5135.2974964844,5344.14226387345,5366.62443353495,5389.25458525053,5412.03369306712,5434.96273744301,5458.04270529008,5481.27459001623,5504.65939156819,5300.89409475957,5314.22936463951,5327.56463451944,5340.89990439937,5354.23517427931,5367.57044415924,5380.90571403917,5394.2409839191,5335.07874413269,5339.24296679185,5343.40718945101,5347.57141211016,5351.73563476932,5355.89985742848,5360.06408008763,5364.22830274678,5191.39511876715,5190.32313546676,5189.25115216636,5188.17916886597,5187.10718556558,5186.03520226518,5184.96321896479,5183.8912356644,5329.49826352207,5327.5751530546,5325.65169063554,5323.72787600884,5321.80370891816,5319.87918910681,5317.95431631778,5316.02909029374,5334.50483604486,5334.50949225597,5334.51414793496,5334.51880308196,5334.52345769707,5334.52811178044,5334.53276533217,5334.53741835239,5402.26481373595,5407.14088058901,5412.02451172152,5416.91571886802,5421.81451378123,5426.72090823211,5431.63491400987,5436.55654292203,5408.39550714074,5410.78377501049,5413.17363821184,5415.56509781047,5417.95815487275,5420.35281046576,5422.74906565729,5425.14692151587,5313.50976556179,5313.29402700498,5313.07823943763,5312.86240283547,5312.64651717422,5312.43058242957
"9",5358.68672313016,5351.24004936632,5343.80372383759,5336.37773216361,5328.96205998398,5321.55669295827,5314.16161676596,5306.77681710645,5421.46001067183,5420.84437290473,5420.22880504683,5419.61330709018,5418.99787902683,5418.38252084886,5417.76723254833,5417.1520141173,5465.3573302214,5470.30765466182,5475.25797910224,5480.20830354266,5485.15862798307,5490.10895242349,5495.05927686391,5500.00960130433,5521.4330748938,5524.83206114521,5528.22990325524,5531.62660269643,5535.02216093801,5538.41657944592,5541.80985968286,5545.20200310824,5289.67516613849,5287.85301946282,5286.03179384259,5284.21148881224,5282.39210390642,5280.57363866003,5278.75609260821,5276.93946528632,5543.83450205985,5543.83825543569,5543.84200881154,5543.84576218739,5543.84951556324,5543.85326893909,5543.85702231494,5543.86077569079,5430.93514146596,5430.9627944408,5430.99045064018,5431.01811006448,5431.04577271408,5431.07343858934,5431.10110769066,5431.1287800184,5470.50903712938,5470.04644238166,5469.58384763395,5469.12125288624,5468.65865813852,5468.1960633908,5467.73346864309,5467.27087389538,5486.40155046138,5486.4917498414,5486.58195070434,5486.67215305024,5486.76235687911,5486.85256219098,5486.94276898588,5487.03297726382,5616.46675755885,5617.9475083992,5619.42825923955,5620.9090100799,5622.38976092025,5623.8705117606
"10",5976.91011626072,5976.91736955943,5976.92462357288,5976.93187830113,5976.93913374426,5976.94638990234,5976.95364677544,5976.96090436363,5997.2540019056,5997.25093763255,5997.24787336106,5997.24480909115,5997.24174482279,5997.23868055601,5997.23561629079,5997.23255202713,6069.3973960356,6073.00958394335,6076.62392163643,6080.24041039428,6083.85905149709,6087.47984622585,6091.10279586226,6094.72790168882,5957.23559668694,5958.87290164567,5960.5102066044,5962.14751156313,5963.78481652186,5965.42212148059,5967.05942643932,5968.69673139805,6021.83162591083,6019.67530387988,6017.51975399353,6015.36497597526,6013.21096954871,6011.05773443755,6008.90527036561,6006.75357705679,5949.81767057175,5947.26880793837,5944.72103722092,5942.17435795163,5939.62876966295,5937.08427188749,5934.54086415809,5931.99854600777,5918.82187687702,5916.01786388116,5913.21298329742,5910.40723417684,5907.60061556866,5904.79312652037,5901.98476607762,5899.1755332843,6019.09941377246,6019.12681040414,6019.15420703581,6019.18160366749,6019.20900029916,6019.23639693084,6019.26379356251,6019.29119019419,6128.58302977049,6132.81919548358,6137.06124296985,6141.30918039595,6145.56301593984,6149.82275779088,6154.08841414977,6158.3599932286,6114.9426319082,6119.30332076554,6123.66912722442,6128.04005729074,6132.41611697744,6136.79731230452
