"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",6334.21910047189,6396.62214945606,6458.72069775407,6520.52058816014,6582.02747011991,6643.24680874203,6704.1838932711,6764.84384506143,6825.23162508698,6885.35204102049,6945.20975391167,7004.80928449218,7064.15501913254,7123.25121547454,7182.10200776047,7240.71141187912,7299.08333014675,7357.22155584007,6318.23518040485,6326.48202550091,6334.73963475057,6343.0080222037,6351.2872019285,6359.57718801153,6367.87799455772,6376.18963569044,6384.51212555149,6392.84547830109,6401.18970811799,6409.54482919943,6417.91085576117,6426.28780203754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4394.15365605232,4397.80016418756,4401.45121660746,4405.10681897513,4408.76697696072,4412.43169624144,4416.10098250159,4419.77484143255,4423.45327873279,4427.13630010787,4430.82391127049,4434.51611794044,4438.21292584465,4441.91434071719,4445.62036829927,4449.33101433926,4453.04628459267,4456.76618482223,4627.87885276594,4639.85656066928,4651.83426857262,4663.81197647597,4675.78968437931,4687.76739228266,4699.745100186,4711.72280808934,4723.70051599269,4735.67822389603,4747.65593179938,4759.63363970272,4771.61134760607,4783.58905550941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",5825.52009356587,5846.15341244644,5866.90048463699,5887.76193726953,5908.73840093357,5929.83050969508,5951.0389011157,5972.364216272,5993.80709977487,6015.36819978899,6037.04816805242,6058.84765989634,6080.7673342648,6102.80785373467,6124.96988453569,6147.25409657054,6169.66116343517,6192.19176243911,6114.71560464024,5979.63511678982,6147.66030547561,5884.41626815434,6175.52810142611,6040.37090104512,6208.3197619302,5944.99977817514,6236.03604305896,6100.80364905593,6268.67768784541,6005.28325032165,6296.24542660327,6160.93930604275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4994.96670191726,5011.17018927959,5027.42624015604,5043.7350250607,5060.09671506079,5076.5114817785,5092.97949739274,5109.50093464096,5126.07596682096,5142.70476779273,5159.38751198023,5176.12437437326,5192.91553052929,5209.76115657528,5226.66142920952,5243.61652570354,5260.62662390391,5277.69190223414,4800.2080140646,4800.23262912627,4800.2573769254,4800.28225817778,4800.30727360307,4800.33242392479,4800.35770987038,4800.3831321712,4800.40869156255,4800.43438878368,4800.46022457786,4800.48619969233,4800.5123148784,4800.5385708914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",3782.50364251666,3784.98760484553,3787.47404088499,3789.96295309853,3792.45434395212,3794.94821591417,3797.44457145553,3799.94341304955,3802.44474317201,3804.94856430118,3807.45487891777,3809.96368950498,3812.47499854849,3814.98880853644,3817.50512195945,3820.02394131062,3822.54526908554,3825.06910778228,3963.6363408237,3974.68635988274,3985.73637894177,3996.78639800081,4007.83641705985,4018.88643611888,4029.93645517792,4040.98647423695,4052.03649329599,4063.08651235503,4074.13653141406,4085.1865504731,4096.23656953214,4107.28658859117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3980.5700734844,3980.6138604366,3980.65767212751,3980.70150857112,3980.7453697814,3980.78925577236,3980.83316655799,3980.8771021523,3980.92106256931,3980.96504782304,3981.00905792752,3981.05309289679,3981.09715274491,3981.14123748592,3981.1853471339,3981.22948170291,3981.27364120703,3981.31782566036,3997.71802855257,4007.25872309906,4016.83325523045,4026.4417449571,4036.084312715,4045.76107936728,4055.47216620574,4065.21769495237,4074.99778776085,4084.81256721809,4094.6621563458,4104.54667860198,4114.46625788251,4124.42101852269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",5868.95726830495,5868.87669939255,5868.79592344027,5868.71493937843,5868.63374612902,5868.55234260564,5868.47072771338,5868.38890034876,5868.30685939962,5868.22460374505,5868.14213225527,5868.05944379157,5867.97653720617,5867.89341134217,5867.81006503343,5867.72649710446,5867.64270637037,5867.55869163669,5651.25602156109,5634.80756989811,5618.35911823513,5601.91066657214,5585.46221490916,5569.01376324618,5552.5653115832,5536.11685992021,5519.66840825723,5503.21995659425,5486.77150493126,5470.32305326828,5453.8746016053,5437.42614994232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",6407.69160782766,6358.75394206184,6310.4153503366,6262.66849904293,6215.50614434675,6168.92113108991,6122.90639170465,6077.45494514134,6032.55989580943,5988.21443253121,5944.41182750852,5901.14543530204,5858.40869182307,5816.19511333769,5774.49829548311,5733.31191229598,5692.62971525272,5652.44553232152,5819.13233274397,5808.62740246909,5798.15150638269,5787.70456423825,5777.28649601105,5766.89722189753,5756.53666231471,5746.20473789955,5735.90136950838,5725.62647821625,5715.37998531637,5705.16181231946,5694.9718809532,5684.81011316158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4436.47137498386,4412.02789330999,4387.58441163612,4363.14092996226,4338.69744828839,4314.25396661452,4289.81048494066,4265.36700326679,4240.92352159292,4216.48003991905,4192.03655824519,4167.59307657132,4143.14959489745,4118.70611322359,4094.26263154972,4069.81914987585,4045.37566820199,4020.93218652812,4312.16925921873,4312.2035928975,4312.23785475201,4312.27204508271,4312.30616418815,4312.34021236504,4312.37418990822,4312.40809711069,4312.44193426365,4312.47570165648,4312.50939957677,4312.54302831033,4312.57658814123,4312.61007935177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
