"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1806.18115985979,1929.19231971958,2052.20347957937,2175.21463943916,2298.22579929895,2421.23695915874,3573.42557469867,3806.60393332318,4061.68591749218,4340.72904581427,4645.9841100535,4979.91333025685,7289.84984412102,7703.11968824205,8116.38953236307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3998.60877803359,4275.13755606718,4551.66633410077,4828.19511213436,5104.72389016795,5381.25266820154,5289.37087513785,5200.60921922967,5113.33708480628,5027.52947600398,4943.16181641806,4860.20994206383,5445.09788756851,5673.92195564115,5902.7460237138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",3669.98414200241,4227.10231860356,4905.53928680056,5731.71358724139,6737.79669695588,7962.96579639736,4174.10558556971,4010.30185505782,3852.92624706933,3701.72650386232,3556.46026700343,3416.89468889098,3382.53247187522,3407.75896625027,3432.98546062531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2857.21866843189,3544.50575713718,4453.59881491303,5656.08057439594,7246.63543511257,9350.50499071998,3542.76424781588,3418.3974097511,3300.77174406597,3189.52185267077,3084.3021434912,2984.78575690431,5964.76948584821,6352.05112745253,6775.46892008517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7542.00578533097,7984.28857126369,8467.50604899241,8995.44685566454,9572.25027895894,10202.4387109184,4889.16707708601,4670.89414410974,4462.36583072181,4263.14709621597,4072.82232192845,3890.9944441566,4244.03830735791,4169.52816586281,4094.34618588428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3286.14717590709,3722.99986523101,4239.43037510079,4849.93473513373,5571.64959608028,6424.83324981045,3821.9220172364,3956.74794935248,4089.3144315627,4219.76571629347,4348.2306710905,4474.82502080414,3958.45537560331,3966.42075120661,3974.38612680992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",4040.05176796938,4361.82426495824,4719.97192355714,5118.60681796302,5562.30587678043,6056.16343305096,5682.74701712071,6137.21995059029,6641.78801111706,7201.97302754947,7823.90548262357,8514.39160297335,4799.59450652133,4812.78901304265,4825.98351956397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",681.311900565632,733.562280678758,785.812660791884,838.063040905011,890.313421018137,942.563801131264,3442.448702675,3874.10700853088,4428.79987444366,5141.59555408307,6057.55772366413,7234.59445392053,8138.68237741191,8286.35475482382,8434.02713223573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4190.13766870357,5016.49206103521,6070.22827305326,7413.91327651184,9127.33013352741,11312.2152206933,3825.23033576189,3375.59840291427,2925.96647006665,2476.33453721903,2026.70260437141,1577.07067152379,7271.56971436694,7801.44942873387,8331.32914310081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
